tmdbId,vote_average,vote_count,popularity
8987,6.441,926,4.8474
1637,7.144,6567,5.8822
15128,5.9,102,1.4403
8831,6.015,1247,2.2061
36955,7.082,4363,4.9059
10449,6.599,369,3.1849
10395,6.1,972,5.471
12160,6.779,892,7.7585
40480,4.855,69,4.2997
52038,6.0,19,1.2694
29444,5.977,109,2.2257
26352,5.603,116,5.65
39953,4.615,13,3.6455
41580,6.449,69,2.891
315,6.337,350,7.1781
22067,6.745,55,0.4766
11667,4.658,1560,4.9602
8011,4.756,530,3.2574
171857,4.4,10,2.9006
2654,7.208,1807,6.8749
18069,7.121,103,2.8251
19092,6.971,209,3.0743
2758,6.968,3213,8.7826
10436,6.97,1168,3.799
13595,6.152,786,5.6831
46094,6.137,157,3.1357
9409,5.418,238,1.5246
11853,5.4,254,3.5131
16771,6.2,86,4.7485
46924,5.1,61,7.2685
11041,6.31,569,4.5372
306,5.879,2029,3.4767
14522,6.7,342,1.3287
26203,6.131,191,0.4952
178,6.212,591,4.0651
19819,6.072,194,5.8452
57834,6.055,146,3.7181
4722,6.139,447,2.3603
18215,5.031,239,2.7015
1607,7.874,2697,7.5086
26391,5.1,108,2.7481
117553,5.109,65,2.2837
6075,7.828,3340,3.8788
11310,5.314,328,1.439
18658,5.8,72,2.9561
9350,6.5,2511,3.6529
9612,5.459,986,7.5803
2124,5.7,605,4.3104
26261,5.097,124,5.4125
19176,5.6,161,1.9421
11566,6.65,800,1.4592
9571,7.316,2172,3.2237
9739,6.75,3930,4.6919
34444,4.383,133,2.5586
26141,5.441,160,2.5815
10997,8.0,639,3.9221
10443,6.888,325,3.3154
20239,5.896,48,3.2237
16297,6.757,219,5.5246
18551,6.0,99,1.7628
25440,6.3,19,3.7827
9024,6.187,378,4.2438
37233,6.7,2191,4.1489
1634,6.181,1890,5.048
13815,7.16,225,3.0646
5503,7.466,4568,7.4297
35588,6.272,275,2.7673
2087,5.763,371,2.3555
41579,5.301,211,2.6805
18620,4.9,37,4.9755
2019,6.49,1287,6.2972
9255,6.542,1965,4.0696
26271,4.514,37,0.9195
10612,6.31,311,4.3981
2259,6.9,714,4.7371
16097,5.1,56,1.9147
11934,7.067,1128,2.1363
106143,5.5,54,5.762
12475,5.1,220,1.2285
9386,6.958,1707,5.2405
7984,7.894,1866,5.3035
59930,5.265,17,2.4792
15765,7.05,343,5.3112
31643,5.172,67,4.2677
6,6.5,363,3.4211
329,7.963,17271,6.1863
10909,6.579,830,2.1026
507,6.196,358,9.3145
29918,6.137,211,5.967
9593,6.471,2869,4.0172
42580,5.7,150,2.7725
22317,5.556,135,2.012
1413,6.589,235,8.0152
12121,5.5,379,2.6258
2246,6.3,491,4.2
10502,6.542,540,3.4473
10440,7.3,1144,2.9361
9516,7.501,837,3.5046
2320,6.3,988,3.8863
5879,6.59,686,9.2976
83718,7.0,42,3.9643
11971,6.935,771,3.7964
31911,5.531,48,3.6869
788,7.193,6397,10.9451
21450,7.236,628,3.4419
11231,5.393,1114,3.8627
10447,6.257,458,4.6399
31586,5.004,269,3.4573
9300,6.89,358,3.8885
9559,7.485,1766,2.3199
9800,7.713,4463,3.1961
713,7.38,1593,5.4572
8291,6.801,267,4.3783
18133,6.4,100,4.9652
25557,5.75,194,4.834
22588,5.873,55,0.6556
10872,6.535,358,5.6893
1245,7.362,1424,4.4607
11858,6.111,306,5.3267
7007,6.1,804,6.0725
10467,5.563,184,5.6436
5550,4.898,1382,2.4441
8005,6.594,2181,6.2898
2088,6.3,201,3.2747
10412,6.54,540,3.9037
47889,5.917,36,1.5448
14534,7.347,721,3.7279
41878,6.4,78,3.9307
424,8.565,16867,11.6077
35233,5.194,116,9.0369
14291,7.075,607,2.4368
11236,7.424,946,3.7297
11592,6.743,737,1.9529
8850,6.067,547,6.4485
10445,6.878,292,6.0673
695,7.201,649,4.5121
43535,6.1,117,1.859
12519,5.6,162,5.2828
23210,6.424,350,0.8824
858,6.741,2486,6.5212
867,5.6,768,4.5312
78,7.942,14495,9.7606
13203,6.024,296,4.3872
10442,6.095,455,1.2757
11074,5.845,863,1.4985
9607,4.5,1385,5.019
17585,6.104,212,5.1424
9057,5.3,276,3.7843
20967,7.022,46,1.0996
10635,6.364,236,2.0819
9479,7.835,10011,14.1797
10057,6.402,1009,6.9296
11969,7.578,2320,6.233
319,7.542,2912,4.4129
26408,6.9,66,4.5709
15139,6.403,766,2.5637
11446,7.1,475,3.3236
51980,6.722,336,1.9619
24405,5.398,162,5.7036
8223,6.4,306,4.7197
14587,5.2,28,4.1528
31504,5.921,108,2.9791
23637,7.2,396,2.2939
17600,5.639,79,1.8956
10897,6.793,1278,5.1443
21352,5.4,117,0.9903
68806,6.5,44,1.0856
37345,5.4,26,7.1524
32562,7.138,109,3.2755
25403,7.33,500,2.6562
9066,6.1,300,2.0825
771,7.451,11989,1.7331
251,7.225,5813,6.2061
812,7.654,11689,7.9214
280,8.134,13700,11.2073
581,7.84,4508,8.7195
268,7.235,8278,6.8998
274,8.346,17282,2.7746
408,7.124,7793,10.2389
10020,7.728,10382,11.9837
10895,7.101,6102,5.6375
114,7.46,8696,10.4242
576,7.6,1275,4.5058
15477,5.693,70,3.867
124472,6.2,9,1.6057
7300,6.449,700,4.6119
10824,5.44,399,2.4549
275,7.851,8672,5.5858
25059,6.6,518,4.2354
11827,6.509,754,6.4851
8766,5.313,581,4.0452
23570,4.931,127,6.1345
47333,6.891,238,3.8608
51242,7.193,96,4.7449
10112,7.295,5251,5.6995
4307,6.8,245,4.2823
46029,5.4,160,6.0405
32308,4.113,133,2.9848
28121,5.589,90,1.98
12520,6.5,293,1.4919
1592,7.655,3698,7.6861
19042,5.989,278,5.2066
38884,7.309,288,2.0038
47449,6.0,22,1.8671
36259,3.617,115,6.1725
41852,6.444,71,1.8615
40926,3.857,14,1.8576
